"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","29-Oct-2023","1","148.55","0.00","5915.507","-","0.000"
"USEP","29-Oct-2023","2","139.45","0.00","5798.827","-","0.000"
"USEP","29-Oct-2023","3","138.51","0.00","5706.365","-","0.000"
"USEP","29-Oct-2023","4","138.54","0.00","5669.925","-","0.000"
"USEP","29-Oct-2023","5","138.49","0.00","5638.415","-","0.000"
"USEP","29-Oct-2023","6","139.47","0.00","5592.428","-","0.000"
"USEP","29-Oct-2023","7","133.77","0.00","5554.621","-","0.000"
"USEP","29-Oct-2023","8","133.72","0.00","5522.410","-","0.000"
"USEP","29-Oct-2023","9","133.55","0.00","5494.747","-","0.000"
"USEP","29-Oct-2023","10","133.40","0.00","5479.474","-","0.000"
"USEP","29-Oct-2023","11","131.34","0.00","5491.720","-","0.000"
"USEP","29-Oct-2023","12","133.53","0.00","5554.998","-","0.000"
"USEP","29-Oct-2023","13","132.04","0.00","5609.022","-","0.000"
"USEP","29-Oct-2023","14","129.34","0.00","5632.575","-","0.000"
"USEP","29-Oct-2023","15","117.60","0.00","5642.436","-","0.000"
"USEP","29-Oct-2023","16","123.19","0.00","5678.001","-","0.000"
"USEP","29-Oct-2023","17","113.25","0.00","5711.852","-","0.000"
"USEP","29-Oct-2023","18","112.14","0.00","5737.860","-","0.000"
"USEP","29-Oct-2023","19","112.17","0.00","5781.635","-","0.000"
"USEP","29-Oct-2023","20","112.24","0.00","5832.349","-","0.000"
"USEP","29-Oct-2023","21","112.30","0.00","5856.399","-","0.000"
"USEP","29-Oct-2023","22","112.06","0.00","5852.627","-","0.000"
"USEP","29-Oct-2023","23","112.17","0.00","5860.360","-","0.000"
"USEP","29-Oct-2023","24","111.63","0.00","5844.948","-","0.000"
"USEP","29-Oct-2023","25","109.19","0.00","5858.332","-","0.000"
"USEP","29-Oct-2023","26","113.22","0.00","5889.634","-","0.000"
"USEP","29-Oct-2023","27","129.36","0.00","5973.766","-","0.000"
"USEP","29-Oct-2023","28","129.45","0.00","6013.451","-","0.000"
"USEP","29-Oct-2023","29","129.97","0.00","6039.399","-","0.000"
"USEP","29-Oct-2023","30","133.69","0.00","6072.694","-","0.000"
"USEP","29-Oct-2023","31","134.03","0.00","6083.285","-","0.000"
"USEP","29-Oct-2023","32","135.77","0.00","6073.881","-","0.000"
"USEP","29-Oct-2023","33","135.92","0.00","6121.320","-","0.000"
"USEP","29-Oct-2023","34","139.45","0.00","6178.679","-","0.000"
"USEP","29-Oct-2023","35","198.84","0.00","6392.359","-","0.000"
"USEP","29-Oct-2023","36","202.32","0.00","6454.568","-","0.000"
"USEP","29-Oct-2023","37","202.33","0.00","6487.042","-","0.000"
"USEP","29-Oct-2023","38","273.36","0.00","6547.801","-","0.000"
"USEP","29-Oct-2023","39","245.67","0.00","6601.193","-","0.000"
"USEP","29-Oct-2023","40","273.44","0.00","6640.625","-","0.000"
"USEP","29-Oct-2023","41","273.14","0.00","6685.832","-","0.000"
"USEP","29-Oct-2023","42","266.82","0.00","6703.794","-","0.000"
"USEP","29-Oct-2023","43","266.39","0.00","6689.784","-","0.000"
"USEP","29-Oct-2023","44","249.23","0.00","6613.271","-","0.000"
"USEP","29-Oct-2023","45","242.22","0.00","6498.140","-","0.000"
"USEP","29-Oct-2023","46","199.42","0.00","6368.453","-","0.000"
"USEP","29-Oct-2023","47","168.71","0.00","6223.946","-","0.000"
"USEP","29-Oct-2023","48","142.10","0.00","6011.831","-","0.000"
"USEP","30-Oct-2023","1","133.80","0.00","5802.271","-","0.000"
"USEP","30-Oct-2023","2","133.68","0.00","5686.604","-","0.000"
"USEP","30-Oct-2023","3","135.71","0.00","5688.950","-","0.000"
"USEP","30-Oct-2023","4","135.71","0.00","5673.434","-","0.000"
"USEP","30-Oct-2023","5","135.70","0.00","5648.593","-","0.000"
"USEP","30-Oct-2023","6","133.64","0.00","5594.585","-","0.000"
"USEP","30-Oct-2023","7","133.63","0.00","5550.381","-","0.000"
"USEP","30-Oct-2023","8","129.36","0.00","5508.991","-","0.000"
"USEP","30-Oct-2023","9","129.36","0.00","5502.063","-","0.000"
"USEP","30-Oct-2023","10","130.62","0.00","5543.309","-","0.000"
"USEP","30-Oct-2023","11","135.65","0.00","5631.661","-","0.000"
"USEP","30-Oct-2023","12","135.81","0.00","5784.101","-","0.000"
"USEP","30-Oct-2023","13","139.53","0.00","5975.088","-","0.000"
"USEP","30-Oct-2023","14","140.75","0.00","6120.043","-","0.000"
"USEP","30-Oct-2023","15","135.88","0.00","6273.964","-","0.000"
"USEP","30-Oct-2023","16","146.02","0.00","6479.170","-","0.000"
"USEP","30-Oct-2023","17","135.94","0.00","6656.142","-","0.000"
"USEP","30-Oct-2023","18","135.99","0.00","6751.143","-","0.000"
"USEP","30-Oct-2023","19","136.00","0.00","6786.883","-","0.000"
"USEP","30-Oct-2023","20","136.00","0.00","6829.754","-","0.000"
"USEP","30-Oct-2023","21","136.02","0.00","6844.922","-","0.000"
"USEP","30-Oct-2023","22","136.03","0.00","6826.851","-","0.000"
"USEP","30-Oct-2023","23","134.05","0.00","6785.237","-","0.000"
"USEP","30-Oct-2023","24","136.00","0.00","6773.876","-","0.000"
"USEP","30-Oct-2023","25","136.01","0.00","6788.125","-","0.000"
"USEP","30-Oct-2023","26","136.01","0.00","6836.692","-","0.000"
"USEP","30-Oct-2023","27","140.33","0.00","6893.340","-","0.000"
"USEP","30-Oct-2023","28","168.05","0.00","6964.888","-","0.000"
"USEP","30-Oct-2023","29","202.55","0.00","7073.751","-","0.000"
"USEP","30-Oct-2023","30","374.73","0.00","7202.484","-","0.000"
"USEP","30-Oct-2023","31","412.61","0.00","7185.178","-","0.000"
"USEP","30-Oct-2023","32","357.73","0.00","7099.838","-","0.000"
"USEP","30-Oct-2023","33","273.26","0.00","7076.554","-","0.000"
"USEP","30-Oct-2023","34","395.52","0.00","7156.993","-","0.000"
"USEP","30-Oct-2023","35","410.65","0.00","7176.615","-","0.000"
"USEP","30-Oct-2023","36","372.84","0.00","7142.804","-","0.000"
"USEP","30-Oct-2023","37","274.67","0.00","7089.859","-","0.000"
"USEP","30-Oct-2023","38","273.44","0.00","7084.491","-","0.000"
"USEP","30-Oct-2023","39","273.46","0.00","7053.235","-","0.000"
"USEP","30-Oct-2023","40","202.14","0.00","6993.411","-","0.000"
"USEP","30-Oct-2023","41","166.50","0.00","6929.353","-","0.000"
"USEP","30-Oct-2023","42","155.71","0.00","6872.406","-","0.000"
"USEP","30-Oct-2023","43","140.35","0.00","6784.740","-","0.000"
"USEP","30-Oct-2023","44","136.06","0.00","6649.750","-","0.000"
"USEP","30-Oct-2023","45","137.63","0.00","6502.047","-","0.000"
"USEP","30-Oct-2023","46","135.96","0.00","6352.037","-","0.000"
"USEP","30-Oct-2023","47","135.94","0.00","6207.897","-","0.000"
"USEP","30-Oct-2023","48","135.91","0.00","6079.473","-","0.000"
"USEP","31-Oct-2023","1","148.14","0.00","5957.872","-","0.000"
"USEP","31-Oct-2023","2","148.00","0.00","5848.800","-","0.000"
"USEP","31-Oct-2023","3","147.99","0.00","5752.352","-","0.000"
"USEP","31-Oct-2023","4","148.13","0.00","5712.528","-","0.000"
"USEP","31-Oct-2023","5","144.86","0.00","5685.048","-","0.000"
"USEP","31-Oct-2023","6","135.64","0.00","5638.644","-","0.000"
"USEP","31-Oct-2023","7","135.43","0.00","5591.682","-","0.000"
"USEP","31-Oct-2023","8","133.57","0.00","5560.784","-","0.000"
"USEP","31-Oct-2023","9","133.57","0.00","5552.464","-","0.000"
"USEP","31-Oct-2023","10","135.43","0.00","5591.359","-","0.000"
"USEP","31-Oct-2023","11","148.11","0.00","5697.707","-","0.000"
"USEP","31-Oct-2023","12","158.87","0.00","5844.392","-","0.000"
"USEP","31-Oct-2023","13","164.57","0.00","6028.938","-","0.000"
"USEP","31-Oct-2023","14","164.57","0.00","6179.196","-","0.000"
"USEP","31-Oct-2023","15","157.80","0.00","6345.223","-","0.000"
"USEP","31-Oct-2023","16","173.65","0.00","6536.698","-","0.000"
"USEP","31-Oct-2023","17","142.13","0.00","6699.207","-","0.000"
"USEP","31-Oct-2023","18","140.29","0.00","6797.071","-","0.000"
"USEP","31-Oct-2023","19","136.01","0.00","6875.254","-","0.000"
"USEP","31-Oct-2023","20","148.37","0.00","6915.884","-","0.000"
"USEP","31-Oct-2023","21","148.38","0.00","6913.583","-","0.000"
"USEP","31-Oct-2023","22","137.17","0.00","6874.593","-","0.000"
"USEP","31-Oct-2023","23","136.00","0.00","6803.164","-","0.000"
"USEP","31-Oct-2023","24","135.99","0.00","6757.719","-","0.000"
"USEP","31-Oct-2023","25","136.00","0.00","6746.944","-","0.000"
"USEP","31-Oct-2023","26","140.32","0.00","6831.911","-","0.000"
"USEP","31-Oct-2023","27","160.44","0.00","6918.781","-","0.000"
"USEP","31-Oct-2023","28","273.46","0.00","7028.872","-","0.000"
"USEP","31-Oct-2023","29","215.71","0.00","7012.058","-","0.000"
"USEP","31-Oct-2023","30","273.31","0.00","7057.365","-","0.000"
"USEP","31-Oct-2023","31","285.43","0.00","7133.913","-","0.000"
"USEP","31-Oct-2023","32","273.62","0.00","7112.790","-","0.000"
"USEP","31-Oct-2023","33","245.62","0.00","7029.160","-","0.000"
"USEP","31-Oct-2023","34","246.35","0.00","7056.709","-","0.000"
"USEP","31-Oct-2023","35","246.41","0.00","7096.603","-","0.000"
"USEP","31-Oct-2023","36","246.34","0.00","7107.800","-","0.000"
"USEP","31-Oct-2023","37","273.38","0.00","7106.314","-","0.000"
"USEP","31-Oct-2023","38","290.77","0.00","7105.425","-","0.000"
"USEP","31-Oct-2023","39","274.55","0.00","7073.100","-","0.000"
"USEP","31-Oct-2023","40","202.36","0.00","7020.463","-","0.000"
"USEP","31-Oct-2023","41","194.52","0.00","6952.160","-","0.000"
"USEP","31-Oct-2023","42","173.78","0.00","6903.941","-","0.000"
"USEP","31-Oct-2023","43","152.38","0.00","6819.143","-","0.000"
"USEP","31-Oct-2023","44","136.07","0.00","6691.384","-","0.000"
"USEP","31-Oct-2023","45","162.17","0.00","6553.621","-","0.000"
"USEP","31-Oct-2023","46","140.29","0.00","6422.219","-","0.000"
"USEP","31-Oct-2023","47","164.20","0.00","6278.755","-","0.000"
"USEP","31-Oct-2023","48","142.02","0.00","6109.576","-","0.000"
"USEP","01-Nov-2023","1","144.28","0.00","5940.998","-","0.000"
"USEP","01-Nov-2023","2","144.27","0.00","5831.743","-","0.000"
"USEP","01-Nov-2023","3","144.27","0.00","5779.533","-","0.000"
"USEP","01-Nov-2023","4","144.26","0.00","5730.922","-","0.000"
"USEP","01-Nov-2023","5","144.29","0.00","5693.577","-","0.000"
"USEP","01-Nov-2023","6","144.12","0.00","5644.578","-","0.000"
"USEP","01-Nov-2023","7","144.13","0.00","5612.988","-","0.000"
"USEP","01-Nov-2023","8","144.08","0.00","5591.473","-","0.000"
"USEP","01-Nov-2023","9","144.06","0.00","5575.147","-","0.000"
"USEP","01-Nov-2023","10","144.07","0.00","5595.648","-","0.000"
"USEP","01-Nov-2023","11","144.09","0.00","5667.311","-","0.000"
"USEP","01-Nov-2023","12","163.68","0.00","5838.313","-","0.000"
"USEP","01-Nov-2023","13","175.99","0.00","6041.452","-","0.000"
"USEP","01-Nov-2023","14","214.19","0.00","6205.159","-","0.000"
"USEP","01-Nov-2023","15","226.54","0.00","6371.733","-","0.000"
"USEP","01-Nov-2023","16","248.93","0.00","6561.920","-","0.000"
"USEP","01-Nov-2023","17","281.57","0.00","6741.149","-","0.000"
"USEP","01-Nov-2023","18","354.81","0.00","6822.567","-","0.000"
"USEP","01-Nov-2023","19","200.68","0.00","6841.672","-","0.000"
"USEP","01-Nov-2023","20","173.88","0.00","6808.070","-","0.000"
"USEP","01-Nov-2023","21","159.14","0.00","6788.304","-","0.000"
"USEP","01-Nov-2023","22","200.69","0.00","6843.461","-","0.000"
"USEP","01-Nov-2023","23","181.59","0.00","6826.086","-","0.000"
"USEP","01-Nov-2023","24","155.42","0.00","6779.696","-","0.000"
"USEP","01-Nov-2023","25","160.46","0.00","6779.651","-","0.000"
"USEP","01-Nov-2023","26","214.77","0.00","6843.039","-","0.000"
"USEP","01-Nov-2023","27","386.95","4500.00","6935.498","-","12.000"
"USEP","01-Nov-2023","28","485.14","2805.03","7005.297","-","12.000"
"USEP","01-Nov-2023","29","184.47","0.00","7092.170","-","0.000"
"USEP","01-Nov-2023","30","292.75","0.00","7116.150","-","0.000"
"USEP","01-Nov-2023","31","202.49","0.00","7100.773","-","0.000"
"USEP","01-Nov-2023","32","253.24","0.00","7116.006","-","0.000"
"USEP","01-Nov-2023","33","295.33","1796.85","7129.990","-","11.000"
"USEP","01-Nov-2023","34","377.97","4500.00","7202.055","-","11.000"
"USEP","01-Nov-2023","35","375.34","2913.94","7199.426","-","11.000"
"USEP","01-Nov-2023","36","350.20","0.00","7175.199","-","0.000"
"USEP","01-Nov-2023","37","174.02","0.00","7052.907","-","0.000"
"USEP","01-Nov-2023","38","144.50","0.00","7021.372","-","0.000"
"USEP","01-Nov-2023","39","144.50","0.00","7001.741","-","0.000"
"USEP","01-Nov-2023","40","144.51","0.00","6999.792","-","0.000"
"USEP","01-Nov-2023","41","144.51","0.00","6995.429","-","0.000"
"USEP","01-Nov-2023","42","144.52","0.00","6958.800","-","0.000"
"USEP","01-Nov-2023","43","393.43","0.00","6872.928","-","0.000"
"USEP","01-Nov-2023","44","188.50","0.00","6734.384","-","0.000"
"USEP","01-Nov-2023","45","163.62","0.00","6582.929","-","0.000"
"USEP","01-Nov-2023","46","144.46","0.00","6446.845","-","0.000"
"USEP","01-Nov-2023","47","163.48","0.00","6293.779","-","0.000"
"USEP","01-Nov-2023","48","144.35","0.00","6094.124","-","0.000"
"USEP","02-Nov-2023","1","133.65","0.00","5891.229","-","0.000"
"USEP","02-Nov-2023","2","129.22","0.00","5776.805","-","0.000"
"USEP","02-Nov-2023","3","130.22","0.00","5759.201","-","0.000"
"USEP","02-Nov-2023","4","133.62","0.00","5714.073","-","0.000"
"USEP","02-Nov-2023","5","133.61","0.00","5667.226","-","0.000"
"USEP","02-Nov-2023","6","127.49","0.00","5613.903","-","0.000"
"USEP","02-Nov-2023","7","128.34","0.00","5570.396","-","0.000"
"USEP","02-Nov-2023","8","130.44","0.00","5561.469","-","0.000"
"USEP","02-Nov-2023","9","127.37","0.00","5537.434","-","0.000"
"USEP","02-Nov-2023","10","127.37","0.00","5554.904","-","0.000"
"USEP","02-Nov-2023","11","127.39","0.00","5659.085","-","0.000"
"USEP","02-Nov-2023","12","133.61","0.00","5839.596","-","0.000"
"USEP","02-Nov-2023","13","140.23","0.00","6028.893","-","0.000"
"USEP","02-Nov-2023","14","140.25","0.00","6180.900","-","0.000"
"USEP","02-Nov-2023","15","138.18","0.00","6332.297","-","0.000"
"USEP","02-Nov-2023","16","144.43","0.00","6537.866","-","0.000"
"USEP","02-Nov-2023","17","160.39","0.00","6707.169","-","0.000"
"USEP","02-Nov-2023","18","183.77","0.00","6790.839","-","0.000"
"USEP","02-Nov-2023","19","174.01","0.00","6816.161","-","0.000"
"USEP","02-Nov-2023","20","173.88","0.00","6802.856","-","0.000"
"USEP","02-Nov-2023","21","178.66","0.00","6825.539","-","0.000"
"USEP","02-Nov-2023","22","181.55","0.00","6844.082","-","0.000"
"USEP","02-Nov-2023","23","153.78","0.00","6869.588","-","0.000"
"USEP","02-Nov-2023","24","140.31","0.00","6840.901","-","0.000"
"USEP","02-Nov-2023","25","133.98","0.00","6807.975","-","0.000"
"USEP","02-Nov-2023","26","148.38","0.00","6852.472","-","0.000"
"USEP","02-Nov-2023","27","174.04","0.00","6965.619","-","0.000"
"USEP","02-Nov-2023","28","188.03","0.00","7010.667","-","0.000"
"USEP","02-Nov-2023","29","134.06","0.00","6928.930","-","0.000"
"USEP","02-Nov-2023","30","134.07","0.00","6916.276","-","0.000"
"USEP","02-Nov-2023","31","144.86","0.00","6985.424","-","0.000"
"USEP","02-Nov-2023","32","173.93","0.00","7061.510","-","0.000"
"USEP","02-Nov-2023","33","265.69","0.00","7119.863","-","0.000"
"USEP","02-Nov-2023","34","289.95","0.00","7147.205","-","12.000"
"USEP","02-Nov-2023","35","289.82","19.55","7161.017","-","12.000"
"USEP","02-Nov-2023","36","185.51","0.00","7093.999","-","0.000"
"USEP","02-Nov-2023","37","261.56","0.00","7024.280","-","0.000"
"USEP","02-Nov-2023","38","196.09","0.00","7006.149","-","0.000"
"USEP","02-Nov-2023","39","214.80","0.00","7003.187","-","0.000"
"USEP","02-Nov-2023","40","214.78","0.00","7008.868","-","0.000"
"USEP","02-Nov-2023","41","228.76","0.00","7006.964","-","0.000"
"USEP","02-Nov-2023","42","182.73","0.00","6966.205","-","0.000"
"USEP","02-Nov-2023","43","265.77","0.00","6910.124","-","0.000"
"USEP","02-Nov-2023","44","255.18","0.00","6802.573","-","0.000"
"USEP","02-Nov-2023","45","4500.00","0.00","6647.489","-","0.000"
"USEP","02-Nov-2023","46","265.37","0.00","6477.247","-","0.000"
"USEP","02-Nov-2023","47","260.01","0.00","6338.345","-","0.000"
"USEP","02-Nov-2023","48","180.86","0.00","6175.309","-","0.000"
"USEP","03-Nov-2023","1","173.32","0.00","6000.967","-","0.000"
"USEP","03-Nov-2023","2","144.36","0.00","5880.792","-","0.000"
"USEP","03-Nov-2023","3","161.26","0.00","5827.499","-","0.000"
"USEP","03-Nov-2023","4","171.33","0.00","5778.325","-","0.000"
"USEP","03-Nov-2023","5","161.56","0.00","5738.575","-","0.000"
"USEP","03-Nov-2023","6","156.68","0.00","5693.368","-","0.000"
"USEP","03-Nov-2023","7","153.78","0.00","5649.568","-","0.000"
"USEP","03-Nov-2023","8","146.02","0.00","5619.887","-","0.000"
"USEP","03-Nov-2023","9","144.13","0.00","5606.508","-","0.000"
"USEP","03-Nov-2023","10","144.23","0.00","5630.687","-","0.000"
"USEP","03-Nov-2023","11","139.40","0.00","5710.261","-","0.000"
"USEP","03-Nov-2023","12","144.09","0.00","5870.474","-","0.000"
"USEP","03-Nov-2023","13","392.13","0.00","6067.341","-","0.000"
"USEP","03-Nov-2023","14","204.52","0.00","6217.693","-","0.000"
"USEP","03-Nov-2023","15","173.97","0.00","6362.405","-","0.000"
"USEP","03-Nov-2023","16","191.16","0.00","6549.118","-","0.000"
"USEP","03-Nov-2023","17","173.71","0.00","6717.019","-","0.000"
"USEP","03-Nov-2023","18","174.19","0.00","6793.199","-","0.000"
"USEP","03-Nov-2023","19","181.21","0.00","6805.972","-","0.000"
"USEP","03-Nov-2023","20","182.39","0.00","6799.536","-","0.000"
"USEP","03-Nov-2023","21","185.21","0.00","6811.265","-","0.000"
"USEP","03-Nov-2023","22","290.37","0.00","6832.075","-","0.000"
"USEP","03-Nov-2023","23","290.33","0.00","6850.240","-","0.000"
"USEP","03-Nov-2023","24","175.22","0.00","6807.419","-","0.000"
"USEP","03-Nov-2023","25","223.43","0.00","6806.390","-","0.000"
"USEP","03-Nov-2023","26","290.29","0.00","6843.620","-","0.000"
"USEP","03-Nov-2023","27","290.35","0.00","6924.517","-","0.000"
"USEP","03-Nov-2023","28","511.61","4091.33","6955.770","-","47.800"
"USEP","03-Nov-2023","29","635.42","4500.00","7020.076","-","57.800"
"USEP","03-Nov-2023","30","291.25","4500.00","6938.651","-","15.566"
"USEP","03-Nov-2023","31","290.18","4500.00","6934.312","-","10.000"
"USEP","03-Nov-2023","32","292.46","4500.00","6945.044","-","48.958"
"USEP","03-Nov-2023","33","637.31","3463.84","7046.131","-","55.000"
"USEP","03-Nov-2023","34","805.77","4500.00","7089.380","-","55.000"
"USEP","03-Nov-2023","35","805.78","4500.00","7127.922","-","45.000"
"USEP","03-Nov-2023","36","638.71","0.00","7083.736","-","0.000"
"USEP","03-Nov-2023","37","566.82","0.00","7036.615","-","0.000"
"USEP","03-Nov-2023","38","503.53","0.00","7045.496","-","0.000"
"USEP","03-Nov-2023","39","503.51","0.00","7056.326","-","0.000"
"USEP","03-Nov-2023","40","454.75","0.00","7047.122","-","0.000"
"USEP","03-Nov-2023","41","453.24","0.00","7019.826","-","0.000"
"USEP","03-Nov-2023","42","387.86","0.00","6978.744","-","0.000"
"USEP","03-Nov-2023","43","290.38","0.00","6889.737","-","0.000"
"USEP","03-Nov-2023","44","241.01","0.00","6763.151","-","0.000"
"USEP","03-Nov-2023","45","233.59","0.00","6620.770","-","0.000"
"USEP","03-Nov-2023","46","204.75","0.00","6504.219","-","0.000"
"USEP","03-Nov-2023","47","188.82","0.00","6382.777","-","0.000"
"USEP","03-Nov-2023","48","367.18","0.00","6350.015","-","0.000"
"USEP","04-Nov-2023","1","659.69","0.00","6312.809","-","0.000"
"USEP","04-Nov-2023","2","560.77","0.00","6202.634","-","0.000"
"USEP","04-Nov-2023","3","224.53","0.00","6005.589","-","0.000"
"USEP","04-Nov-2023","4","212.48","0.00","5945.476","-","0.000"
"USEP","04-Nov-2023","5","212.08","0.00","5884.445","-","0.000"
"USEP","04-Nov-2023","6","205.15","0.00","5820.466","-","0.000"
"USEP","04-Nov-2023","7","173.89","0.00","5776.760","-","0.000"
"USEP","04-Nov-2023","8","173.17","0.00","5732.487","-","0.000"
"USEP","04-Nov-2023","9","166.15","0.00","5703.810","-","0.000"
"USEP","04-Nov-2023","10","154.29","0.00","5703.373","-","0.000"
"USEP","04-Nov-2023","11","166.15","0.00","5738.724","-","0.000"
"USEP","04-Nov-2023","12","166.16","0.00","5779.608","-","0.000"
"USEP","04-Nov-2023","13","152.73","0.00","5845.778","-","0.000"
"USEP","04-Nov-2023","14","152.21","0.00","5917.948","-","0.000"
"USEP","04-Nov-2023","15","152.44","0.00","5960.501","-","0.000"
"USEP","04-Nov-2023","16","161.07","0.00","6074.080","-","0.000"
"USEP","04-Nov-2023","17","154.24","0.00","6200.363","-","0.000"
"USEP","04-Nov-2023","18","160.01","0.00","6282.055","-","0.000"
"USEP","04-Nov-2023","19","150.62","0.00","6363.677","-","0.000"
"USEP","04-Nov-2023","20","158.41","0.00","6411.503","-","0.000"
"USEP","04-Nov-2023","21","160.12","0.00","6442.223","-","0.000"
"USEP","04-Nov-2023","22","144.76","0.00","6419.793","-","0.000"
"USEP","04-Nov-2023","23","133.88","0.00","6333.390","-","0.000"
"USEP","04-Nov-2023","24","123.46","0.00","6237.365","-","0.000"
"USEP","04-Nov-2023","25","133.89","0.00","6242.404","-","0.000"
"USEP","04-Nov-2023","26","135.89","0.00","6328.360","-","0.000"
"USEP","04-Nov-2023","27","224.44","0.00","6457.044","-","0.000"
"USEP","04-Nov-2023","28","282.63","0.00","6488.543","-","0.000"
"USEP","04-Nov-2023","29","313.30","0.00","6517.031","-","0.000"
"USEP","04-Nov-2023","30","390.81","0.00","6507.022","-","0.000"
"USEP","04-Nov-2023","31","173.34","0.00","6408.367","-","0.000"
"USEP","04-Nov-2023","32","134.05","0.00","6301.811","-","0.000"
"USEP","04-Nov-2023","33","144.37","0.00","6362.012","-","0.000"
"USEP","04-Nov-2023","34","445.72","0.00","6550.743","-","0.000"
"USEP","04-Nov-2023","35","289.75","0.00","6547.204","-","0.000"
"USEP","04-Nov-2023","36","183.68","0.00","6511.917","-","0.000"
"USEP","04-Nov-2023","37","167.12","0.00","6502.743","-","0.000"
"USEP","04-Nov-2023","38","165.96","0.00","6532.553","-","0.000"
"USEP","04-Nov-2023","39","173.37","0.00","6572.581","-","0.000"
"USEP","04-Nov-2023","40","183.80","0.00","6607.694","-","0.000"
"USEP","04-Nov-2023","41","239.82","0.00","6622.723","-","0.000"
"USEP","04-Nov-2023","42","257.86","0.00","6635.183","-","0.000"
"USEP","04-Nov-2023","43","224.73","0.00","6603.569","-","0.000"
"USEP","04-Nov-2023","44","174.10","0.00","6535.515","-","0.000"
"USEP","04-Nov-2023","45","224.38","0.00","6436.458","-","0.000"
"USEP","04-Nov-2023","46","173.32","0.00","6355.352","-","0.000"
"USEP","04-Nov-2023","47","173.31","0.00","6261.713","-","0.000"
"USEP","04-Nov-2023","48","171.68","0.00","6141.598","-","0.000"
